gl_account,gl_account_name,account_group,account_group_name,pl_section,is_pl_account,normal_balance
650020,Insurance — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650030,IT services — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650040,Telecom — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650050,Maintenance & repair — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650060,Office supplies — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650070,Professional fees — Engineering,OVH,Overhead,OPERATING_EXPENSES,true,S
650080,Facility cost — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650090,Utilities — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650100,Insurance — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650110,IT services — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650120,Telecom — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650130,Maintenance & repair — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650140,Office supplies — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650150,Professional fees — Manufacturing,OVH,Overhead,OPERATING_EXPENSES,true,S
650160,Facility cost — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650170,Utilities — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650180,Insurance — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650190,IT services — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650200,Telecom — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650210,Maintenance & repair — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650220,Office supplies — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650230,Professional fees — Programmes,OVH,Overhead,OPERATING_EXPENSES,true,S
650240,Facility cost — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
650250,Utilities — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
650260,Insurance — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
650270,IT services — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
650280,Telecom — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
650290,Maintenance & repair — Operations,OVH,Overhead,OPERATING_EXPENSES,true,S
680000,Depreciation buildings — Engineering,DEP,Depreciation,OPERATING_EXPENSES,true,S
680010,Depreciation machinery — Engineering,DEP,Depreciation,OPERATING_EXPENSES,true,S
680020,Depreciation test rigs — Engineering,DEP,Depreciation,OPERATING_EXPENSES,true,S
680030,Depreciation IT hardware — Engineering,DEP,Depreciation,OPERATING_EXPENSES,true,S
680040,Amortisation software — Engineering,DEP,Depreciation,OPERATING_EXPENSES,true,S
680050,Depreciation buildings — Manufacturing,DEP,Depreciation,OPERATING_EXPENSES,true,S
680060,Depreciation machinery — Manufacturing,DEP,Depreciation,OPERATING_EXPENSES,true,S
680070,Depreciation test rigs — Manufacturing,DEP,Depreciation,OPERATING_EXPENSES,true,S
680080,Depreciation IT hardware — Manufacturing,DEP,Depreciation,OPERATING_EXPENSES,true,S
680090,Amortisation software — Manufacturing,DEP,Depreciation,OPERATING_EXPENSES,true,S
680100,Depreciation buildings — Programmes,DEP,Depreciation,OPERATING_EXPENSES,true,S
680110,Depreciation machinery — Programmes,DEP,Depreciation,OPERATING_EXPENSES,true,S
680120,Depreciation test rigs — Programmes,DEP,Depreciation,OPERATING_EXPENSES,true,S
680130,Depreciation IT hardware — Programmes,DEP,Depreciation,OPERATING_EXPENSES,true,S
680140,Amortisation software — Programmes,DEP,Depreciation,OPERATING_EXPENSES,true,S
690000,Other operating expense — Engineering,OTH,Other operating,OTHER,true,S
690010,Currency loss — Engineering,OTH,Other operating,OTHER,true,S
690020,Write-off — Engineering,OTH,Other operating,OTHER,true,S
690030,Provision movement — Engineering,OTH,Other operating,OTHER,true,S
690040,Miscellaneous cost — Engineering,OTH,Other operating,OTHER,true,S
690050,Other operating expense — Manufacturing,OTH,Other operating,OTHER,true,S
690060,Currency loss — Manufacturing,OTH,Other operating,OTHER,true,S
690070,Write-off — Manufacturing,OTH,Other operating,OTHER,true,S
690080,Provision movement — Manufacturing,OTH,Other operating,OTHER,true,S
690090,Miscellaneous cost — Manufacturing,OTH,Other operating,OTHER,true,S
690100,Other operating expense — Programmes,OTH,Other operating,OTHER,true,S
690110,Currency loss — Programmes,OTH,Other operating,OTHER,true,S
690120,Write-off — Programmes,OTH,Other operating,OTHER,true,S
690130,Provision movement — Programmes,OTH,Other operating,OTHER,true,S
690140,Miscellaneous cost — Programmes,OTH,Other operating,OTHER,true,S
